id,name,cost,startingGold,startingPoints,transitionPoints,size,maxHP,protection,magicResistance,morale,strength,attack,defence,precision,encumbrance,actionPoints,naturalWeapons,paths,abilities,properties,slots,parts,transitions,categories
f87,draco lion,"gold (234), emeralds (2)",0,0,5,6,70,"eye (12), head (12), body (12), leg (12), wing (12)",12,15,20,10,7,12,3,15,"e29 (1), e322 (1)",,regeneration (7),"animal, flying, forestSurvival, mountainSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4), wing (2)",f88,Animal
f88,celestial lion,gold (515),0,0,10,6,145,"eye (12), head (12), body (12), leg (12), wing (12)",18,18,26,15,12,10,2,22,"e29 (2), e322 (1)","astral (1), fire (1)","fear (5), fireResistance (2)",flying,"body (1), misc (2)","eye (2), head (1), body (1), leg (4), wing (2)",,Animal
f89,cave Drake,gold (79),0,0,2,4,58,"eye (22), head (22), body (22), leg (22)",12,14,19,8,7,5,5,7,e322 (1),,darkvision (50),"animal, coldBlooded, drake, mountainSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f302,"Animal, Drake, Cold-Blooded"
f90,cave grub,gold (65),0,0,1,4,52,"head (6), body (6), leg (6)",7,18,17,10,8,5,5,5,e603 (1),,siegeBonus (10),"animal, blind, coldBlooded, magicBeing","body (1), misc (2)","head (1), body (1), leg (26)",,"Animal, Cold-Blooded, Magic Being"
f91,cave cow,gold (25),0,0,1,4,32,"eye (4), head (4), body (4), leg (4)",7,10,15,10,9,10,3,8,e322 (1),,darkvision (100),"animal, coldBlooded","body (1), misc (2)","eye (2), head (1), body (1), leg (4)","f90, f295","Animal, Cold-Blooded"
f92,cave crab,gold (169),0,0,3,4,54,"eye (22), head (22), body (22), leg (22)",4,15,20,11,9,5,2,10,e273 (1),,darkvision (100),"amphibian, animal","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f302,"Amphibian, Animal"
f93,swamp Drake,"gold (88), emeralds (5)",0,0,2,4,44,"eye (14), head (14), body (14), leg (14)",13,14,17,10,8,8,4,8,e323 (1),,poisonResistance (15),"animal, coldBlooded, drake, poisonBarbs, swampSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f304,"Animal, Drake, Cold-Blooded"
f94,ice Drake,"gold (65), sapphires (3)",0,0,1,4,41,"eye (13), head (13), body (13), leg (13)",13,14,17,10,8,8,4,8,e322 (1),,coldResistance (15),"animal, drake","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f305,"Animal, Drake"
f95,fire Drake,"gold (15), rubies (3)",0,0,0,3,28,"eye (10), head (10), body (10), leg (10)",13,14,15,10,8,8,4,9,e323 (1),fire (0.5),fireResistance (15),"animal, coldBlooded, drake, wastelandSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)","f87, f306","animal, Drake, Cold-Blooded"
f96,wyvern,"gold (176), diamonds (3), emeralds (3)",0,0,4,5,35,"eye (12), head (12), body (12), leg (12), wing (12)",14,13,15,13,12,10,3,7,"e322 (1), e203 (1)",,"poisonResistance (15), shockResistance (15)","Animal, Cold-Blooded, Drake, flying, mountainSurvival, wastelandSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (2), wing (2)","f217, f292","animal, Drake, Cold-Blooded"
f97,fivefold angel,,0,0,0,2,8,"eye (0), head (0), body (0), arm (0), leg (0)",15,18,9,7,6,10,3,12,e511 (1),"blood (2), holy (2)","damageReversal (0), coldResistance (3), stealthy (50)",,"head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f98,simargl,gold (19),31,4,0,2,13,"eye (7), head (7), body (7), leg (7), wing (7)",12,13,11,12,11,5,2,12,e322 (1),,patrolBonus (10),"animal, "flying","body (1), misc (2)","eye (2), head (1), body (1), leg (4), wing (2)","f57, f58, f83, f161, f162, f163, f165, f166, f238","Animal, Starting Form"
f99,androleth,gold (15),0,0,0,2,14,"eye (2), head (2), body (2), arm (2), leg (2)",13,14,11,8,9,8,3,10,e85 (1),,,"amphibian, magicBeing","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,"Amphibian, Magic Being"
f100,androdai,gold (10),0,0,0,2,13,"eye (2), head (2), body (2), arm (2), leg (2)",15,15,10,7,9,7,3,10,e63 (1),"astral (1.25), death (0.25), earth (0.25), holy (1), water (0.25)",,"amphibian, magicBeing","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,"Amphibian, Magic Being"
f101,horite,"gold (67), rubies (1), sapphires (1)",0,0,1,3,25,"eye (2), head (2), body (2), arm (2), leg (2)",8,13,17,9,9,9,3,14,,,"darkvision (50), coldResistance (5), fireResistance (5)","mountainSurvival, wastelandSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f195,Tagless
f102,werebear,,0,0,0,4,45,"eye (8), head (8), body (8), arm (8), leg (8)",13,17,20,12,9,5,2,14,"e29 (1), e322 (1)",,"berserk (1), firstshape (39), coldResistance (5)","animal, recuperation","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,Animal
f103,winged monkey,gold (81),0,0,2,1,7,"eye (0), head (0), body (0), arm (0), leg (0), wing (0)",13,7,6,11,15,8,2,14,e387 (1),astral (0.75),,"animal, flying, magicBeing, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2), wing (2)",,Animal
f104,manikin,"gold (124), topazes (2), emeralds (5)",0,0,2,2,12,"eye (0), head (0), body (0), arm (0), leg (0)",12,50,11,7,7,5,0,6,"e29 (1), e71 (1)",,"poisonResistance (25), pierceImmunity (50)","lifeless, magicBeing, mindless, poorAmphibian, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,"Undead, Magic Being"
f105,mandragora,"gold (230), topazes (2), emeralds (5)",0,0,5,2,25,"eye (5), head (5), body (5), arm (5), leg (5)",14,50,15,9,9,5,0,6,"e29 (1), e71 (2)",,"poisonResistance (25), pierceImmunity (50)","lifeless, magicBeing, mindless, poorAmphibian, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,"Undead, Magic Being"
f106,ancient mandragora,"gold (283), emeralds (5)",0,0,6,3,47,"eye (8), head (8), body (8), arm (8), leg (8)",18,16,18,16,10,10,0,6,e71 (4),"death (3), nature (3)",poisonResistance (25),"lifeless, magicBeing, forestSurvival",misc (2),"eye (2), head (1), body (1), arm (2), leg (2)",,"Undead, Magic Being"
f107,satyr manikin,"gold (160), topazes (2), emeralds (5)",0,0,3,2,16,"eye (0), head (0), body (0), arm (0), leg (0)",14,50,12,7,9,5,0,8,"e29 (1), e71 (1)",,"poisonResistance (25), pierceImmunity (50)","lifeless, magicBeing, mindless, poorAmphibian, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,"Undead, Magic Being"
f108,harpy manikin,"topazes (2), emeralds (5)",0,0,0,1,8,"eye (0), head (0), body (0), arm (0), leg (0), wing (0)",13,50,9,5,5,5,0,3,e71 (2),,"poisonResistance (25), pierceImmunity (50)","female, lifeless, magicBeing, mindless, poorAmphibian, forestSurvival","head (1), misc (2)","eye (2), head (1), body (1), leg (2), wing (2)",,"Undead, Magic Being"
f109,ichtysatyr,"gold (59), emeralds (2)",0,0,1,2,12,"eye (2), head (2), body (2), arm (2), leg (2)",13,9,11,10,12,10,3,14,,,stealthy (40),"poorAmphibian, recuperation","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f110, f111",Amphibian
f110,ichtytaur,"gold (91), emeralds (2)",0,0,2,3,25,"eye (4), head (4), body (4), arm (4), leg (4)",11,13,16,8,8,8,3,15,,,berserk (2),"poorAmphibian, recuperation, trample","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Amphibian
f111,ichtycentaur,"gold (97), emeralds (2)",0,0,2,3,20,"eye (4), head (4), body (4), arm (4), leg (4)",13,11,13,10,13,12,3,30,,,,"amphibian, recuperation","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,Amphibian
f112,ichtyid,gold (10),28,2,0,2,16,"eye (5), head (5), body (5), arm (5), leg (5)",8,12,11,9,8,8,3,8,,,,amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f109, f168","Amphibian, Starting Form"
f113,edomite,gold (40),0,0,1,3,21,"eye (1), head (1), body (1), arm (1), leg (1)",11,9,14,9,9,10,3,14,,,,wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f114, f115",Tagless
f114,avvite,gold (98),0,0,2,3,24,"eye (1), head (1), body (1), arm (1), leg (1)",12,12,15,11,11,10,3,14,,,,wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f116, f117, f118",Tagless
f115,gittite,gold (104),0,0,2,3,24,"eye (1), head (1), body (1), arm (1), leg (1)",12,12,15,11,11,10,3,14,,,fireResistance (3),wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f116, f117, f118",Tagless
f116,bashanite,"gold (167), rubies (1)",0,0,3,4,40,"eye (2), head (2), body (2), arm (2), leg (2)",13,14,20,11,11,10,3,16,,,fireResistance (5),wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f119, f120, f121, f122, f123",Tagless
f117,amorite,"gold (157), rubies (1)",0,0,3,4,35,"eye (2), head (2), body (2), arm (2), leg (2)",13,11,18,11,12,10,3,16,,,fireResistance (5),wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f119, f120, f121, f122, f123",Tagless
f118,gileadite,"gold (149), rubies (1)",0,0,3,4,35,"eye (2), head (2), body (2), arm (2), leg (2)",13,13,18,11,11,10,3,16,,,fireResistance (5),wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f119, f120, f121, f122, f123",Tagless
f119,ahiman anakite,"gold (286), rubies (1)",0,0,6,5,53,"eye (3), head (3), body (3), arm (3), leg (3)",15,15,22,13,12,10,2,16,e331 (1),,fireResistance (6),wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (3)","eye (2), head (1), body (1), arm (2), leg (2)",f124,Tagless
f120,sheshai anakite,"gold (280), rubies (1)",0,0,6,5,50,"eye (3), head (3), body (3), arm (3), leg (3)",15,14,21,12,12,10,2,16,e331 (1),,"berserk (2), fireResistance (9)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (3)","eye (2), head (1), body (1), arm (2), leg (2)",f124,Tagless
f121,talmai anakite of arakiel,"gold (217), rubies (1)",0,0,4,5,45,"eye (1), head (1), body (1), arm (1), leg (1)",18,13,20,11,11,10,2,16,e331 (1),"astral (0.025), death (0.025), earth (3.025), fire (0.025)","forgeBonus (1), fireResistance (6)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (3)","eye (2), head (1), body (1), arm (2), leg (2)",f124,Tagless
f122,talmai anakite of kokabel,"gold (217), rubies (1)",0,0,4,5,45,"eye (1), head (1), body (1), arm (1), leg (1)",18,13,20,11,11,10,2,16,e331 (1),"astral (3.025), death (0.025), earth (0.025), fire (0.025)","forgeBonus (1), fireResistance (6)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (3)","eye (2), head (1), body (1), arm (2), leg (2)",f124,Tagless
f123,talmai anakite of shamshiel,"gold (217), rubies (1)",0,0,4,5,45,"eye (1), head (1), body (1), arm (1), leg (1)",18,13,20,11,11,10,2,16,e331 (1),"astral (0.025), death (0.025), earth (0.025), fire (3.025)","forgeBonus (1), fireResistance (6)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (3)","eye (2), head (1), body (1), arm (2), leg (2)",f124,Tagless
f124,rephaim,"gold (292), rubies (1)",0,0,6,5,55,"eye (3), head (3), body (3), arm (3), leg (3)",15,14,22,13,12,10,2,16,e331 (1),,fireResistance (7),wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f244,Tagless
f125,son of arakiel,"gold (485), rubies (3)",0,0,10,6,81,"eye (6), head (6), body (6), arm (6), leg (6)",18,18,28,15,15,13,1,20,e522 (1),"blood (3), earth (4), holy (1)","fear (5), fireResistance (15)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f126,son of azazel,"gold (514), rubies (3)",0,0,10,6,81,"eye (6), head (6), body (6), arm (6), leg (6)",18,18,25,16,16,13,1,20,e522 (1),"astral (2), blood (4), fire (2), holy (2)","fear (5), fireResistance (15)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f127,son of ezekiel,"gold (485), diamonds (3), rubies (3)",0,0,10,6,81,"eye (6), head (6), body (6), arm (6), leg (6)",18,18,25,15,15,15,1,20,e522 (1),"air (4), blood (3), holy (1)","fear (5), fireResistance (15), shockResistance (15)","wastelandSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f128,son of kokabel,"gold (478), rubies (3)",0,0,10,6,81,"eye (6), head (6), body (6), arm (6), leg (6)",18,18,25,15,15,13,1,20,e522 (1),"astral (4), blood (3), holy (1)","fear (5), fireResistance (15)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f129,son of semyaza,"gold (485), rubies (3), emeralds (3)",0,0,10,6,81,"eye (6), head (6), body (6), arm (6), leg (6)",18,18,25,15,15,13,1,20,e522 (1),"blood (3), holy (1), nature (4)","fear (5), healer (3), fireResistance (15), poisonResistance (15)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f130,son of shamshiel,"gold (503), rubies (3)",0,0,10,6,81,"eye (6), head (6), body (6), arm (6), leg (6)",18,18,25,15,15,13,1,20,"e320 (1), e522 (1)","blood (3), fire (4), holy (1)","fear (5), fireResistance (15)",wastelandSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f131,Demonbred,"gold (115), rubies (7)",0,0,2,3,17,"eye (5), head (5), body (5), arm (5), leg (5), wing (5)",15,14,14,11,9,7,2,8,e29 (2),,"darkvision (50), heatAura (3), fireResistance (25)","flying, wastelandSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2), wing (2)",,Tagless
f132,fir bolg,gold (84),0,0,2,2,13,"eye (0), head (0), body (0), arm (0), leg (0)",13,11,11,12,13,10,3,13,,,,,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f133,Tagless
f133,sidhe,"gold (98), diamonds (2)",0,0,2,2,13,"eye (0), head (0), body (0), arm (0), leg (0)",14,12,12,12,13,12,3,13,,,"darkvision (50), stealthy (65)","glamour, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f134, f135, f136, f137",Tagless
f134,bean sidhe,"gold (109), diamonds (2)",0,0,2,2,13,"eye (0), head (0), body (0), arm (0), leg (0)",15,10,12,12,14,12,3,13,,"air (1.25), earth (0.25), nature (1.25), water (1.25)","darkvision (50), stealthy (65)","female, glamour, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f135,baobhan sidhe,"gold (141), diamonds (2)",0,0,3,2,13,"eye (0), head (0), body (0), arm (0), leg (0)",15,12,12,12,14,12,3,13,e63 (1),air (2),"assassin (1), darkvision (50), stealthy (85)","female, glamour, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f136,tuatha,"gold (134), diamonds (2)",0,0,3,2,14,"eye (0), head (0), body (0), arm (0), leg (0)",14,14,13,13,14,12,3,13,,,"darkvision (50), stealthy (65)","glamour, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f137,nemedian,"gold (138), diamonds (2)",0,0,3,2,14,"eye (0), head (0), body (0), arm (0), leg (0)",14,14,13,14,13,12,3,13,,,"darkvision (50), stealthy (65)",glamour,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f138,Tagless
f138,morrigan,"gold (311), diamonds (2), onyxes (5), sapphires (3)",0,0,6,2,17,"eye (7), head (7), body (7), arm (7), leg (7)",16,18,13,15,15,15,0,14,,,"fear (5), coldResistance (15), poisonResistance (25), stealthy (65)","female, flying, glamour","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f139,van,"gold (94), diamonds (2)",0,0,2,2,13,"eye (0), head (0), body (0), arm (0), leg (0)",14,11,11,12,13,12,3,13,,,stealthy (65),glamour,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f140,Tagless
f140,valkyrie,"gold (122), diamonds (2)",0,0,2,2,12,"eye (0), head (0), body (0), arm (0), leg (0)",14,12,11,13,14,13,3,13,,,stealthy (65),"female, flying, glamour, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f141,morgen,"gold (131), diamonds (2)",0,0,3,2,14,"eye (0), head (0), body (0), arm (0), leg (0)",14,14,12,13,14,12,3,13,,,"darkvision (50), stealthy (65)","amphibian, female, glamour","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Amphibian
f142,boar,,0,0,0,3,13,"eye (4), head (4), body (4), leg (4)",5,8,10,8,7,5,2,14,e331 (1),,,"animal, forestSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,Animal
f143,harpy,emeralds (2),0,0,0,1,7,"eye (0), head (0), body (0), arm (0), wing (0)",11,8,8,8,10,8,3,4,e29 (2),,stealthy (40),"female, flying, recuperation, forestSurvival","head (1), body (1), misc (2)","eye (2), head (1), body (1), wing (2)",,Tagless
f144,imp,"gold (135), rubies (3)",0,0,3,1,8,"eye (6), head (6), body (6), arm (6), leg (6), wing (6)",13,9,9,11,15,10,1,7,e29 (2),,"coldResistance (-5), fireResistance (15)",flying,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2), wing (2)",f145,Demon
f145,devil,"gold (286), rubies (7)",0,0,6,3,35,"eye (8), head (8), body (8), arm (8), leg (8), wing (8)",17,18,14,14,12,12,2,12,"e29 (2), e68 (1)",,"heatAura (3), coldResistance (-5), fireResistance (25)","flying, wastelandSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2), wing (2)",f326,Demon
f146,crystal amazon,gold (33),0,0,1,2,10,"eye (0), head (0), body (0), arm (0), leg (0)",10,10,9,11,11,12,3,13,,,,female,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f147,garnet amazon,"gold (65), rubies (3)",0,0,1,2,10,"eye (0), head (0), body (0), arm (0), leg (0)",10,11,9,12,12,12,3,13,,,fireResistance (15),"female, wastelandSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f148,jade amazon,gold (34),0,0,1,2,10,"eye (0), head (0), body (0), arm (0), leg (0)",10,11,9,11,11,12,3,13,,,,"female, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f149,onyx amazon,gold (34),0,0,1,2,10,"eye (0), head (0), body (0), arm (0), leg (0)",10,11,9,11,11,12,3,13,,,,"female, mountainSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f150,merrow,gold (11),27,2,0,2,14,"eye (2), head (2), body (2), arm (2), leg (2)",11,10,12,9,9,8,3,11,,,darkvision (50),amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f109, f141","Amphibian, Starting Form"
f151,saos,gold (45),0,0,1,2,12,"eye (0), head (0), body (0), arm (0), leg (0)",11,12,11,11,11,10,3,14,,,,poorAmphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f152, f153",Amphibian
f152,kourete,gold (124),0,0,2,2,15,"eye (0), head (0), body (0), arm (0), leg (0)",13,13,12,13,13,12,2,14,,,,"magicBeing, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f154,"Amphibian, Magic Being"
f153,strategis,"gold (127), pearls (2), emeralds (2)",0,0,3,2,15,"eye (0), head (0), body (0), arm (0), leg (0)",15,13,12,12,12,10,2,12,,holy (1),awe (1),"female, magicBeing, poorAmphibian, recuperation","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f154,"Amphibian, Magic Being"
f154,melia,"gold (166), pearls (4), emeralds (2)",0,0,3,2,15,"eye (0), head (0), body (0), arm (0), leg (0)",16,13,12,13,13,11,2,12,,"air (0.333), earth (0.333), holy (1), nature (1), water (0.333)",awe (3),"female, magicBeing, poorAmphibian, recuperation","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f228,"Amphibian, Magic Being"
f155,fallen angel,"gold (354), rubies (3)",0,0,7,4,49,"eye (0), head (0), body (0), arm (0), leg (0), wing (0)",18,18,14,14,14,15,1,16,,"blood (3), death (3), fire (3)","fear (5), invulnerability (25), fireResistance (15)",flying,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2), wing (2)",,"Demon, Magic Being"
f156,sprite,"gold (230), diamonds (2)",0,0,5,1,2,"eye (0), head (0), body (0), arm (0), leg (0), wing (0)",14,7,3,14,20,14,1,10,e228 (1),,stealthy (65),"flying, glamour, magicBeing, forestSurvival, wastelandSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2), wing (2)",,Magic Being
f157,spine devil,gold (180),0,0,4,2,25,"eye (13), head (13), body (13), arm (13), leg (13)",16,18,15,12,12,5,2,15,e207 (2),,poisonBarbs (10),,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f145,Demon
f158,ancient one,gold (106),0,0,2,4,40,"eye (3), head (3), body (3), arm (3), leg (3)",12,13,18,9,9,7,4,14,,,"darkvision (100), siegeBonus (2)",coldBlooded,"hands (2), head (1), body (1), feet (1), misc (2)","eye (1), head (1), body (1), arm (2), leg (2)","f176, f177",Cold-Blooded
f159,olm spawn,"gold (88), emeralds (3), sapphires (1)",0,0,2,3,28,"eye (5), head (5), body (5), arm (5)",14,13,14,10,10,9,3,7,,,"darkvision (100), coldResistance (5), poisonResistance (15), siegeBonus (2)",coldBlooded,"hands (2), head (1), body (1), misc (2)","eye (1), head (1), body (1), arm (2)",,Cold-Blooded
f160,gnome,diamonds (2),0,0,0,1,6,"eye (0), head (0), body (0), arm (0), leg (0)",16,9,9,7,7,9,3,6,e543 (1),"earth (2), nature (2)",stealthy (65),"glamour, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f161,tiger,gold (55),0,0,1,3,21,"eye (4), head (4), body (4), leg (4)",5,13,15,13,11,5,3,20,"e29 (1), e322 (1)",,,"animal, forestSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)","f84, f199",Animal
f162,great boar,gold (52),0,0,1,3,20,"eye (6), head (6), body (6), leg (6)",5,13,15,12,9,5,2,16,e331 (1),,,"animal, forestSurvival, trample","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f247,Animal
f163,jaguar,gold (40),0,0,1,2,19,"eye (4), head (4), body (4), leg (4)",5,13,15,13,11,5,3,20,"e29 (1), e322 (1)",,stealthy (40),"animal, forestSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f84,Animal
f164,black harpy,emeralds (2),0,0,0,2,8,"eye (2), head (2), body (2), wing (2)",11,10,8,9,9,8,3,4,e29 (2),,stealthy (60),"female, flying, recuperation, forestSurvival","head (1), body (1), misc (2)","eye (2), head (1), body (1), wing (2)",,Tagless
f165,great hawk,gold (16),0,0,0,3,15,"eye (2), head (2), body (2), wing (2)",5,13,11,11,13,8,3,6,"e29 (2), e404 (1)",,,"animal, flying, forestSurvival, mountainSurvival","body (1), misc (2)","eye (2), head (1), body (1), wing (2)","f266, f267",Animal
f166,winter wolf,"gold (159), pearls (5), sapphires (7)",0,0,3,2,13,"eye (0), head (0), body (0), leg (0)",15,50,11,12,12,5,0,26,e322 (1),,"coldAura (6), coldResistance (25), poisonResistance (15), Winter Power (25)","Animal, ethereal, magicBeing, mountainSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f256,"animal, Magic Being"
f167,mazzik,gold (125),0,0,2,1,9,"eye (6), head (6), body (6), arm (6), leg (6), wing (6)",13,9,9,11,15,10,1,7,e29 (2),,stealthy (40),"demon, flying, wastelandSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2), wing (2)","f226, f144",Demon
f168,kappa,"gold (74), emeralds (2)",0,0,1,2,15,"eye (5), head (0), body (15), arm (5), leg (5)",8,12,13,10,9,8,5,8,"e29 (1), e420 (1)",,,"amphibian, recuperation","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f204, f205, f206",Amphibian
f169,lesser hybrid,gold (45),0,0,1,2,13,"eye (1), head (1), body (1), arm (1), leg (1)",10,11,12,10,10,10,3,10,e85 (1),,,amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Amphibian
f170,hybrid,gold (24),0,0,0,2,15,"eye (2), head (2), body (2), arm (2), leg (2)",12,10,11,10,9,11,3,10,,,,amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Amphibian
f171,sentinel,"gold (281), topazes (9)",0,0,6,3,25,"eye (22), head (22), body (22), arm (22), leg (22)",13,50,16,12,10,5,0,8,,,"darkvision (100), patrolBonus (10), poisonResistance (25), pierceImmunity (50), slashImmunity (50)","noHealNaturally, lifeless, magicBeing, needNotEat, poorAmphibian, sacred, stoneBeing","hands (2), head (1), body (1), feet (1), misc (2)","eye (1), head (1), body (1), arm (2), leg (2)",f172,lifeless
f172,granite guardian,"gold (431), topazes (9)",0,0,9,4,75,"eye (22), head (22), body (22), arm (22), leg (22)",14,50,22,12,10,5,0,8,,,"darkvision (100), patrolBonus (10), poisonResistance (25), pierceImmunity (50), slashImmunity (50)","noHealNaturally, lifeless, magicBeing, needNotEat, poorAmphibian, sacred, stoneBeing","hands (2), head (1), body (1), feet (1), misc (2)","eye (1), head (1), body (1), arm (2), leg (2)",f173,lifeless
